City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,37.4,86,90,3.36,overcast clouds
1,Provideniya,RU,64.38,-173.3,47.26,66,28,8.21,scattered clouds
2,Dikson,RU,73.51,80.55,47.32,100,87,18.14,overcast clouds
3,Cherskiy,RU,68.75,161.3,44.22,74,98,9.04,overcast clouds
4,Albany,US,42.6,-73.97,88.0,41,71,1.68,broken clouds
5,Mataura,NZ,-46.19,168.86,51.58,78,100,0.98,overcast clouds
6,Serafimovskiy,RU,54.42,53.8,65.48,64,94,13.44,overcast clouds
7,Walvis Bay,NA,-22.96,14.51,77.0,15,0,16.11,clear sky
8,Busselton,AU,-33.65,115.33,51.01,84,95,1.5,light rain
9,Rikitea,PF,-23.12,-134.97,73.92,77,11,8.14,few clouds
10,Chokurdakh,RU,70.63,147.92,56.75,60,85,3.09,overcast clouds
11,Malangali,TZ,-8.57,34.85,57.88,56,0,16.37,clear sky
12,Bredasdorp,ZA,-34.53,20.04,48.2,93,0,4.7,clear sky
13,Leh,IN,34.17,77.58,61.43,41,19,5.3,few clouds
14,Fairbanks,US,64.84,-147.72,78.01,50,1,1.74,clear sky
15,Southbridge,US,42.08,-72.03,87.01,36,23,1.01,few clouds
16,Saint-Philippe,RE,-21.36,55.77,68.0,77,90,13.87,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.8,75,40,4.7,scattered clouds
18,Severnoye,RU,56.35,78.36,61.11,95,75,5.28,broken clouds
19,Qaanaaq,GL,77.48,-69.36,40.06,70,20,6.64,few clouds
20,Vaini,TO,-21.2,-175.2,73.4,73,75,11.41,broken clouds
21,Kenai,US,60.55,-151.26,60.8,82,90,5.82,light rain
22,Puerto Ayora,EC,-0.74,-90.35,80.6,61,20,9.17,few clouds
23,Erechim,BR,-27.63,-52.27,58.1,91,0,2.89,clear sky
24,Tura,IN,25.52,90.22,76.66,85,70,2.3,broken clouds
25,Cape Town,ZA,-33.93,18.42,52.0,87,0,3.36,clear sky
26,Sibolga,ID,1.74,98.78,75.56,81,100,4.03,overcast clouds
27,Bethel,US,41.37,-73.41,87.01,48,1,9.17,clear sky
28,Port Alfred,ZA,-33.59,26.89,59.27,76,0,11.14,clear sky
29,Bluff,NZ,-46.6,168.33,51.96,90,83,11.63,broken clouds
30,Tiko,CM,4.07,9.37,77.0,100,75,1.12,broken clouds
31,Atuona,PF,-9.8,-139.03,78.91,78,99,18.16,light rain
32,Cody,US,44.53,-109.06,84.99,37,1,11.41,clear sky
33,Poum,NC,-20.23,164.02,68.4,72,1,24.99,clear sky
34,Shaunavon,CA,49.65,-108.42,81.61,36,0,10.25,clear sky
35,Pangkalanbuun,ID,-2.68,111.62,73.42,97,97,2.64,overcast clouds
36,Chuy,UY,-33.7,-53.46,51.82,82,0,7.99,clear sky
37,Dicabisagan,PH,17.08,122.42,79.27,76,100,2.77,overcast clouds
38,Goderich,CA,43.75,-81.72,75.99,67,98,3.0,light rain
39,Georgetown,MY,5.41,100.34,77.0,94,40,5.82,light rain
40,Barra Do Garcas,BR,-15.89,-52.26,76.89,34,0,4.5,clear sky
41,Racine,US,42.75,-88.08,75.99,73,1,4.7,clear sky
42,Nanortalik,GL,60.14,-45.24,46.63,93,100,13.78,overcast clouds
43,Narsaq,GL,60.92,-46.05,53.6,62,75,9.17,broken clouds
44,Hilo,US,19.73,-155.09,80.6,65,90,10.29,overcast clouds
45,Progreso,MX,21.28,-89.67,93.99,52,75,11.41,broken clouds
46,Vostok,RU,46.49,135.88,67.26,97,96,4.27,overcast clouds
47,La Rioja,ES,42.25,-2.5,69.8,73,75,8.05,broken clouds
48,Bazarnyye Mataki,RU,54.88,49.93,60.69,94,100,13.69,overcast clouds
49,Half Moon Bay,US,37.46,-122.43,79.0,82,75,11.41,broken clouds
50,Norman Wells,CA,65.28,-126.83,82.4,48,5,10.29,clear sky
51,Montemor-O-Novo,PT,38.65,-8.21,80.6,47,0,11.41,clear sky
52,Deputatskiy,RU,69.3,139.9,53.64,65,65,3.85,broken clouds
53,Ancud,CL,-41.87,-73.82,51.01,81,75,9.17,broken clouds
54,Severo-Yeniseyskiy,RU,60.37,93.04,51.82,92,97,2.1,overcast clouds
55,Chaupal,IN,30.95,77.58,56.77,100,63,3.24,broken clouds
56,Svetlogorsk,BY,52.63,29.73,51.46,95,0,7.34,clear sky
57,Tuatapere,NZ,-46.13,167.68,52.18,89,54,2.26,broken clouds
58,East London,ZA,-33.02,27.91,60.71,70,0,9.17,clear sky
59,Alamosa,US,37.47,-105.87,77.0,25,40,10.29,scattered clouds
60,Hermanus,ZA,-34.42,19.23,55.0,86,0,5.01,clear sky
61,Nikolskoye,RU,59.7,30.79,54.0,87,20,4.47,few clouds
62,Pokosnoye,RU,55.53,101.05,58.6,95,100,14.38,moderate rain
63,Guiratinga,BR,-16.35,-53.76,76.3,36,4,5.06,clear sky
64,Port Hedland,AU,-20.32,118.57,59.0,30,0,9.17,clear sky
65,Caravelas,BR,-17.71,-39.25,69.85,79,24,6.6,few clouds
66,Bengkulu,ID,-3.8,102.27,73.98,88,100,4.41,overcast clouds
67,Imbituba,BR,-28.24,-48.67,68.0,68,0,8.05,clear sky
68,Ostrovnoy,RU,68.05,39.51,50.86,87,97,15.57,overcast clouds
69,Kapaa,US,22.08,-159.32,82.4,69,40,14.99,scattered clouds
70,Hobart,AU,-42.88,147.33,48.99,61,20,8.05,few clouds
71,Nanning,CN,22.82,108.32,80.6,78,40,13.42,scattered clouds
72,Mvuma,ZW,-19.28,30.53,47.62,76,0,7.16,clear sky
73,Aklavik,CA,68.22,-135.01,64.4,72,75,12.75,broken clouds
74,Ca Mau,VN,9.18,105.15,77.59,90,100,7.4,overcast clouds
75,Mahebourg,MU,-20.41,57.7,71.6,83,75,17.22,shower rain
76,Esperance,AU,-33.87,121.9,44.6,93,100,11.41,overcast clouds
77,Tikhvin,RU,59.65,33.53,48.94,92,0,3.11,clear sky
78,Yandyki,RU,45.77,47.13,71.96,68,100,13.94,overcast clouds
79,Urusha,RU,54.05,122.9,61.09,96,92,6.46,overcast clouds
80,Avarua,CK,-21.21,-159.78,73.4,64,54,4.7,broken clouds
81,Carinhanha,BR,-14.3,-43.77,74.95,41,58,6.31,broken clouds
82,Clyde River,CA,70.47,-68.59,44.6,93,75,6.93,broken clouds
83,Souillac,MU,-20.52,57.52,71.6,83,75,17.22,shower rain
84,Tuktoyaktuk,CA,69.45,-133.04,53.6,100,90,18.34,light rain
85,Cidreira,BR,-30.18,-50.21,59.29,74,0,7.43,clear sky
86,Pevek,RU,69.7,170.31,36.32,95,100,5.55,overcast clouds
87,Jamestown,US,42.1,-79.24,73.99,77,100,10.0,light rain
88,Fukue,JP,32.69,128.84,81.16,85,31,9.1,scattered clouds
89,Sayyan,YE,15.17,44.32,62.24,80,32,3.76,light rain
90,Marsh Harbour,BS,26.54,-77.06,82.87,80,99,29.51,moderate rain
91,Ahipara,NZ,-35.17,173.17,56.35,89,100,13.27,light rain
92,Clarence Town,AU,-32.58,151.78,46.99,93,0,6.93,clear sky
93,Frontino,CO,6.78,-76.13,72.05,85,86,3.27,moderate rain
94,Mar Del Plata,AR,-38.0,-57.56,50.0,93,100,13.87,overcast clouds
95,Muscat,OM,23.61,58.59,86.0,84,0,2.24,clear sky
96,Castro,BR,-24.79,-50.01,55.35,78,0,2.28,clear sky
