City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
7,7,Walvis Bay,,-22.96,14.51,77.0,15,0,16.11,clear sky
9,9,Rikitea,PF,-23.12,-134.97,73.92,77,11,8.14,few clouds
14,14,Fairbanks,US,64.84,-147.72,78.01,50,1,1.74,clear sky
20,20,Vaini,TO,-21.2,-175.2,73.4,73,75,11.41,broken clouds
24,24,Tura,IN,25.52,90.22,76.66,85,70,2.3,broken clouds
26,26,Sibolga,ID,1.74,98.78,75.56,81,100,4.03,overcast clouds
30,30,Tiko,CM,4.07,9.37,77.0,100,75,1.12,broken clouds
31,31,Atuona,PF,-9.8,-139.03,78.91,78,99,18.16,light rain
35,35,Pangkalanbuun,ID,-2.68,111.62,73.42,97,97,2.64,overcast clouds
37,37,Dicabisagan,PH,17.08,122.42,79.27,76,100,2.77,overcast clouds
38,38,Goderich,CA,43.75,-81.72,75.99,67,98,3.0,light rain
39,39,Georgetown,MY,5.41,100.34,77.0,94,40,5.82,light rain
40,40,Barra Do Garcas,BR,-15.89,-52.26,76.89,34,0,4.5,clear sky
41,41,Racine,US,42.75,-88.08,75.99,73,1,4.7,clear sky
47,47,La Rioja,ES,42.25,-2.5,69.8,73,75,8.05,broken clouds
49,49,Half Moon Bay,US,37.46,-122.43,79.0,82,75,11.41,broken clouds
59,59,Alamosa,US,37.47,-105.87,77.0,25,40,10.29,scattered clouds
63,63,Guiratinga,BR,-16.35,-53.76,76.3,36,4,5.06,clear sky
65,65,Caravelas,BR,-17.71,-39.25,69.85,79,24,6.6,few clouds
66,66,Bengkulu,ID,-3.8,102.27,73.98,88,100,4.41,overcast clouds
74,74,Ca Mau,VN,9.18,105.15,77.59,90,100,7.4,overcast clouds
75,75,Mahebourg,MU,-20.41,57.7,71.6,83,75,17.22,shower rain
78,78,Yandyki,RU,45.77,47.13,71.96,68,100,13.94,overcast clouds
80,80,Avarua,CK,-21.21,-159.78,73.4,64,54,4.7,broken clouds
81,81,Carinhanha,BR,-14.3,-43.77,74.95,41,58,6.31,broken clouds
83,83,Souillac,MU,-20.52,57.52,71.6,83,75,17.22,shower rain
87,87,Jamestown,US,42.1,-79.24,73.99,77,100,10.0,light rain
93,93,Frontino,CO,6.78,-76.13,72.05,85,86,3.27,moderate rain
97,97,Zaozerne,UA,45.16,33.28,71.76,58,0,12.5,clear sky
105,105,Bireun,ID,5.2,96.7,78.42,66,99,4.97,overcast clouds
107,107,Enshi,CN,30.3,109.48,73.2,85,58,0.22,broken clouds
109,109,Thompson,CA,55.74,-97.86,71.6,40,20,11.41,few clouds
110,110,Bonthe,SL,7.53,-12.51,75.87,90,100,10.94,light rain
111,111,Ponta Do Sol,PT,32.67,-17.1,73.4,64,20,27.51,few clouds
112,112,Fortuna,US,40.6,-124.16,72.0,68,26,3.0,scattered clouds
120,120,Anajatuba,BR,-3.26,-44.62,78.84,60,13,1.23,few clouds
121,121,Bambous Virieux,MU,-20.34,57.76,71.6,83,75,17.22,shower rain
138,138,Santa Rosa,PH,14.31,121.11,78.8,94,100,1.61,overcast clouds
139,139,Arraial Do Cabo,BR,-22.97,-42.03,69.8,68,14,8.05,few clouds
140,140,Piacabucu,BR,-10.41,-36.43,73.56,87,53,9.71,light rain
145,145,Yen Bai,VN,21.7,104.87,78.73,88,100,4.76,moderate rain
147,147,Oyama,JP,36.3,139.8,79.0,94,20,5.82,few clouds
148,148,Lanzhou,CN,36.06,103.79,73.0,44,0,0.54,clear sky
149,149,Hasaki,JP,35.73,140.83,73.4,94,75,10.29,broken clouds
153,153,Mahajanga,MG,-15.72,46.32,73.45,49,8,14.27,clear sky
155,155,Lagoa,PT,39.05,-27.98,71.42,71,0,8.95,clear sky
156,156,Luderitz,,-26.65,15.16,75.2,19,0,9.17,clear sky
161,161,Wajid,SO,3.81,43.25,72.72,68,0,22.26,clear sky
166,166,Ushtobe,KZ,45.25,77.98,71.19,31,86,8.21,overcast clouds
169,169,Amahai,ID,-3.33,128.92,76.87,87,96,10.98,light rain
177,177,Polewali,ID,-3.43,119.34,74.93,83,89,3.11,overcast clouds
182,182,Meulaboh,ID,4.14,96.13,74.59,83,80,3.98,broken clouds
187,187,Port Hardy,CA,50.7,-127.42,69.8,60,75,10.29,broken clouds
194,194,Aksu,CN,41.12,80.26,77.32,26,100,2.66,overcast clouds
197,197,Alofi,NU,-19.06,-169.92,73.4,64,99,13.87,overcast clouds
200,200,Conde,BR,-7.26,-34.91,75.2,94,75,10.29,broken clouds
201,201,Waingapu,ID,-9.66,120.26,71.96,84,38,9.33,scattered clouds
204,204,Fort Dodge,US,42.5,-94.17,78.8,61,90,3.36,overcast clouds
206,206,Touros,BR,-5.2,-35.46,78.8,78,75,11.41,broken clouds
209,209,Nenjiang,CN,49.18,125.22,70.2,89,100,4.85,overcast clouds
211,211,Mehran,IR,33.12,46.16,73.4,25,0,4.7,clear sky
215,215,Kupang,ID,-10.17,123.58,71.6,88,20,8.05,few clouds
217,217,Linfen,CN,36.09,111.52,78.73,73,3,4.7,clear sky
222,222,Vazante,BR,-17.99,-46.91,71.76,45,100,0.6,overcast clouds
223,223,Hambantota,LK,6.12,81.12,75.2,100,20,8.05,few clouds
226,226,Pangai,TO,-19.8,-174.35,75.2,73,75,17.22,broken clouds
